"Date","monthly.returns"
1927-12-30,0
1928-01-31,-0.00510930170563685
1928-02-29,-0.0178011859137595
1928-03-30,0.110676625880686
1928-04-30,0.0240851665503384
1928-05-31,0.0125787822068602
1928-06-29,-0.0439519194179797
1928-07-31,0.0150379249597593
1928-08-31,0.0714944822057672
1928-09-28,0.0128541902686725
1928-10-31,0.0252232390776088
1928-11-30,0.113262803823771
1928-12-31,0.00287887072311658
1929-01-31,0.0555143280812057
1929-02-28,-0.00584453714142119
1929-03-28,-0.0023473979854661
1929-04-30,0.0159319413274614
1929-05-31,-0.0437336030290631
1929-06-28,0.0988553083004017
1929-07-31,0.0522413802174719
1929-08-30,0.0934827747130778
1929-09-30,-0.0501155215978996
1929-10-31,-0.222232173777741
1929-11-27,-0.143578721459073
1929-12-31,0.0250190380986379
1930-01-31,0.0605972024876214
1930-02-28,0.021272768928399
1930-03-31,0.0366897119444151
1930-04-30,0.0305834238478587
1930-05-29,-0.0166029265324466
1930-06-30,-0.179793145841848
1930-07-31,0.0360010096354015
1930-08-29,0.0075153831909242
1930-09-30,-0.139364298661208
1930-10-31,-0.092946089191084
1930-11-28,-0.0336166935606597
1930-12-31,-0.0655972213035024
1931-01-30,0.0539299947902556
1931-02-27,0.1076432746223
1931-03-31,-0.0772273056263232
1931-04-30,-0.10077748678079
1931-05-29,-0.14754561095269
1931-06-30,0.13016547906635
1931-07-31,-0.077068964565792
1931-08-31,0.00942378255151484
1931-09-30,-0.355850682759134
1931-10-30,0.0715300120402425
1931-11-30,-0.0933944996656084
1931-12-31,-0.156961658526618
1932-01-29,-0.0224168576142261
1932-02-29,0.0431366820799875
1932-03-31,-0.125806698611648
1932-04-29,-0.22622627865803
1932-05-31,-0.265628625587475
1932-06-30,-0.00898881638118838
1932-07-29,0.308347500225884
1932-08-31,0.330293515866404
1932-09-30,-0.0376486983089012
1932-10-31,-0.149212383263469
1932-11-30,-0.0607144010602286
1932-12-30,0.0549507018877282
1933-01-31,0.00288600210902126
1933-02-28,-0.203877917507636
1933-03-31,0.0330177796855401
1933-04-28,0.291520855317273
1933-05-31,0.207958643977934
1933-06-30,0.123758641622074
1933-07-31,-0.0921072538577533
1933-08-31,0.10847128312016
1933-09-29,-0.131858169176881
1933-10-31,-0.0814154147001333
1933-11-29,0.0977422920985515
1933-12-29,0.00906808741411196
1934-01-31,0.113651009154387
1934-02-28,-0.0373960439061799
1934-03-29,-0.0130965709673725
1934-04-30,-0.0151805427540968
1934-05-31,-0.0847542750270873
1934-06-29,0.0205981290950263
1934-07-31,-0.122380752520896
1934-08-31,0.0527322737659902
1934-09-28,-0.00767965338596356
1934-10-31,-0.0301866966331067
1934-11-30,0.0796059938838825
1934-12-31,-0.0042016828550656
1935-01-31,-0.0430173431639415
1935-02-28,-0.040364291962963
1935-03-29,-0.0337437446826817
1935-04-30,0.0936950992265436
1935-05-31,0.0318160659954391
1935-06-28,0.066624013240728
1935-07-31,0.078840077173783
1935-08-30,0.0143371496689896
1935-09-30,0.0306638464147461
1935-10-31,0.0723808459037236
1935-11-29,0.0377997402240173
1935-12-31,0.0371677766137054
1936-01-31,0.0634675896330938
1936-02-28,0.0200629319506755
1936-03-31,0.0216810450467962
1936-04-30,-0.0802102539050379
1936-05-29,0.0447358341068893
1936-06-30,0.0300980679304359
1936-07-31,0.0658432763693428
1936-08-31,0.00879398814102184
1936-09-30,0.00125002877300121
1936-10-30,0.0734384826672074
1936-11-30,0.00289777914032845
1936-12-31,-0.00580386879279634
1937-01-29,0.0337657336074941
1937-02-26,0.016187850490506
1937-03-31,-0.00778210661328322
1937-04-30,-0.0868084611807805
1937-05-28,-0.0104008324274404
1937-06-30,-0.0543406335472164
1937-07-30,0.0852241184828768
1937-08-31,-0.0445059436155672
1937-09-30,-0.15331981037708
1937-10-29,-0.108109755176829
1937-11-30,-0.105810521212823
1937-12-31,-0.0517196947481908
1938-01-31,0.0131828077825445
1938-02-28,0.0590276259715743
1938-03-31,-0.288270148259057
1938-04-29,0.140273293246896
1938-05-31,-0.0535560277842095
1938-06-30,0.220767470584296
1938-07-29,0.0644844114453318
1938-08-31,-0.0221410848954584
1938-09-30,0.0148150322915569
1938-10-31,0.0732322631635164
1938-11-30,-0.0339801449383255
1938-12-30,0.0316996625746532
1939-01-31,-0.0660617612992564
1939-02-28,0.0320027005607812
1939-03-31,-0.145526584055349
1939-04-28,-0.00456406428132491
1939-05-31,0.0594938008882614
1939-06-30,-0.065918848105364
1939-07-31,0.103148153820046
1939-08-31,-0.0741079416887875
1939-09-29,0.134537117584655
1939-10-31,0.00312256007282876
1939-11-30,-0.0503502365758121
1939-12-29,0.0210875803156564
1940-01-31,-0.0334588406555786
1940-02-29,0.00661705662521109
1940-03-29,0.00411355494673912
1940-04-30,0.000820621732919018
1940-05-31,-0.273832480111196
1940-06-28,0.0737996154963111
1940-07-31,0.0305895016835014
1940-08-30,0.0202027110247081
1940-09-30,0.0151231472601596
1940-10-31,0.0386432700097652
1940-11-29,-0.0471219034231376
1940-12-31,0.000945648208740513
1941-01-31,-0.0494047427939749
1941-02-28,-0.0150077474373271
1941-03-31,0.00402414643882078
1941-04-30,-0.0674879390659384
1941-05-29,0.00749063885807176
1941-06-30,0.0488917186932302
1941-07-31,0.0533723442428237
1941-08-29,-0.0106436041032578
1941-09-30,-0.00781253246072484
1941-10-31,-0.0710959029842337
1941-11-28,-0.0408220070686015
1941-12-31,-0.0482969005479014
1942-01-30,0.0182446111337687
1942-02-27,-0.0298187483641642
1942-03-31,-0.0699079641048181
1942-04-30,-0.0446788258223692
1942-05-29,0.0620059166142592
1942-06-30,0.0182376573359872
1942-07-31,0.030844701391636
1942-08-31,0.00698483222510101
1942-09-30,0.026332430724368
1942-10-30,0.0560277516859574
1942-11-30,-0.00750670509021175
1942-12-31,0.0503779641891929
1943-01-29,0.0663280293526217
1943-02-26,0.0495197563675499
1943-03-31,0.0541151669275542
1943-04-30,0.000863204960712677
1943-05-28,0.0389220052481448
1943-06-30,0.0245914181969394
1943-07-30,-0.0413281941895449
1943-08-31,-0.00422835213708743
1943-09-30,0.0234516385553545
1943-10-29,-0.0141728156354819
1943-11-30,-0.0776665252913422
1943-12-31,0.0573096075719571
1944-01-31,0.0153064469366
1944-02-29,-0.00253491361332001
1944-03-31,0.0167789810312031
1944-04-28,-0.0125577682101737
1944-05-31,0.0396418949818354
1944-06-30,0.0497535820468738
1944-07-31,-0.0210205878063984
1944-08-31,0.00861733948516248
1944-09-29,-0.00625979550945069
1944-10-31,0.00313479587670559
1944-11-30,0.00390474462590229
1944-12-29,0.0344729512596788
1945-01-31,0.0142058863055408
1945-02-28,0.0597945403577263
1945-03-29,-0.0494547591663612
1945-04-30,0.0865214565838347
1945-05-31,0.0113904128725566
1945-06-29,-0.00937090811802413
1945-07-31,-0.0142230667259153
1945-08-31,0.0563623058954422
1945-09-28,0.0342238100953585
1945-10-31,0.0367013914745026
1945-11-30,0.0319176569473237
1945-12-31,0.00984089392802201
1946-01-31,0.0673786145401045
1946-02-28,-0.0719975558184695
1946-03-29,0.0430417622719904
1946-04-30,0.0391353903942739
1946-05-31,0.0221411295878352
1946-06-28,-0.0398882971260639
1946-07-31,-0.0258327763422321
1946-08-30,-0.0757368183827843
1946-09-30,-0.107030218419095
1946-10-31,-0.0080537270748253
1946-11-29,-0.0108402040465269
1946-12-31,0.0413667968898104
1947-01-31,0.0232568399541374
1947-02-28,-0.0147959946657083
1947-03-31,-0.0169938877634442
1947-04-30,-0.0396690770419744
1947-05-29,-0.00895631998893458
1947-06-30,0.0512587074204241
1947-07-31,0.0355219901734714
1947-08-29,-0.0283159545603373
1947-09-30,-0.0138023908292658
1947-10-31,0.0209569325900606
1947-11-28,-0.0295977386223994
1947-12-31,0.0211368933339703
1948-01-30,-0.0413667968898104
1948-02-27,-0.0524412342753871
1948-03-31,0.0793245478210066
1948-04-30,0.0261794810697541
1948-05-28,0.075260931082118
1948-06-30,0.00299128171617696
1948-07-30,-0.0546315269977991
1948-08-31,0.00754245455679268
1948-09-30,-0.0305173392948986
1948-10-29,0.0631657412538607
1948-11-30,-0.112117298120706
1948-12-31,0.0300523325180554
1949-01-31,0.00131495467425505
1949-02-28,-0.0402199234842031
1949-03-31,0.0296518037408054
1949-04-29,-0.0235147130281276
1949-05-31,-0.0359900756059599
1949-06-30,-0.00211638411106152
1949-07-29,0.0602922384957333
1949-08-31,0.0118970539928136
1949-09-30,0.0233776655675471
1949-10-31,0.0290976239704448
1949-11-30,0.00124601574858468
1949-12-30,0.0444518503528643
1950-01-31,0.0153666333647625
1950-02-28,0.0099213001423568
1950-03-31,0.00405689352176145
1950-04-28,0.038018659251681
1950-05-31,0.0446454984445675
1950-06-30,-0.0597929719812132
1950-07-31,0.00844359734349957
1950-08-31,0.0319938992640725
1950-09-29,0.0544100743210647
1950-10-31,0.0041046707569538
1950-11-30,-0.00102461368055348
1950-12-29,0.0460772574006269
1951-01-31,0.0584628107609984
1951-02-28,0.00644270026966121
1951-03-30,-0.0147876864683142
1951-04-30,0.043277113808308
1951-05-31,-0.0414166055726842
1951-06-29,-0.0263669407920287
1951-07-31,0.0664451260579947
1951-08-31,0.038533710527223
1951-09-28,-0.000859495427652545
1951-10-31,-0.0138530219488133
1951-11-30,-0.00261900515003773
1951-12-31,0.0381611707983299
1952-01-31,0.0154458897554141
1952-02-29,-0.037135033454893
1952-03-31,0.0466177451436003
1952-04-30,-0.0440415536784149
1952-05-29,0.022892093854453
1952-06-30,0.0450710645711402
1952-07-31,0.0174746521845527
1952-08-29,-0.0146740261294143
1952-09-30,-0.0197706562862659
1952-10-31,-0.00081534685331538
1952-11-28,0.0454442235039611
1952-12-31,0.0348493950450315
1953-01-30,-0.00717663281007134
1953-02-27,-0.0183631614989921
1953-03-31,-0.0238338570938976
1953-04-30,-0.0268499420392611
1953-05-29,-0.00325467825345493
1953-06-30,-0.0164342862047584
1953-07-31,0.0249552986291403
1953-08-31,-0.0595141406188478
1953-09-30,0.00128565205608782
1953-10-30,0.0497074761383779
1953-11-30,0.00892498047009399
1953-12-31,0.00201731911739655
1954-01-29,0.049921957955263
1954-02-26,0.00268044179010844
1954-03-31,0.0297630148830033
1954-04-30,0.0478351945493435
1954-05-28,0.0323788178064072
1954-06-30,0.000684881894773535
1954-07-30,0.055597612922621
1954-08-31,-0.0345941020102953
1954-09-30,0.0798622263709642
1954-10-29,-0.0196912457606977
1954-11-30,0.0777090237148836
1954-12-31,0.0495686155054787
1955-01-31,0.0179043901506364
1955-02-28,0.00354264587704615
1955-03-31,-0.00490855880845583
1955-04-29,0.0370312566046263
1955-05-31,-0.00131802412027466
1955-06-30,0.079088551199377
1955-07-29,0.0589171363635371
1955-08-31,-0.00784318091196636
1955-09-30,0.0112838934139319
1955-10-31,-0.0309290562575294
1955-11-30,0.0721997758366856
1955-12-30,-0.000659386330104583
1956-01-31,-0.037182331614154
1956-02-29,0.0340993212417804
1956-03-29,0.0669616838739417
1956-04-30,-0.00206480505923853
1956-05-31,-0.0679894235421237
1956-06-29,0.0384120223105223
1956-07-31,0.050238836166838
1956-08-31,-0.0388077823246131
1956-09-28,-0.0465300369557023
1956-10-31,0.0050589210754433
1956-11-30,-0.0110303342003956
1956-12-31,0.0346627909381705
1957-01-31,-0.0426806645842149
1957-02-28,-0.0331924744180228
1957-03-29,0.0194581462284801
1957-04-30,0.0362866973365721
1957-05-31,0.0362817210332714
1957-06-28,-0.00126585193641324
1957-07-31,0.0113351533228323
1957-08-30,-0.0577847538655595
1957-09-30,-0.063919587872941
1957-10-31,-0.0325854609348997
1957-11-29,0.0159462143552497
1957-12-31,-0.0423511945611051
1958-01-31,0.0418716822697766
1958-02-28,-0.0208391500679646
1958-03-31,0.0303857074114795
1958-04-30,0.0313329395679857
1958-05-29,0.0148523588185076
1958-06-30,0.0257486855186333
1958-07-31,0.0422002882876744
1958-08-29,0.0117970902897578
1958-09-30,0.0472432465097893
1958-10-31,0.0250530988078955
1958-11-28,0.0221567236687786
1958-12-31,0.0507119438001143
1959-01-30,0.00433764784211143
1959-02-27,-0.000721647429966966
1959-03-31,0.000541249985424802
1959-04-30,0.0380476140572504
1959-05-29,0.0187500143073226
1959-06-30,-0.00358513541045346
1959-07-31,0.0342947898305564
1959-08-31,-0.0151530644262531
1959-09-30,-0.0467117441959262
1959-10-30,0.0111889170977479
1959-11-30,0.0131262390103841
1959-12-31,0.0272505757036465
